v,alpha,l,q_value
2.0,0.01,3,12.4
2.0,0.01,4,13.8
2.0,0.01,5,14.8
2.0,0.01,6,15.6
2.0,0.01,7,16.2
2.0,0.01,8,16.7
2.0,0.01,9,17.1
2.0,0.01,10,17.5
2.0,0.01,11,17.8
2.0,0.01,13,18.4
2.0,0.01,15,18.8
2.0,0.01,17,19.2
2.0,0.01,19,19.6
2.0,0.01,21,19.9
2.0,0.05,3,5.42
2.0,0.05,4,6.06
2.0,0.05,5,6.51
2.0,0.05,6,6.85
2.0,0.05,7,7.12
2.0,0.05,8,7.35
2.0,0.05,9,7.54
2.0,0.05,10,7.71
2.0,0.05,11,7.85
2.0,0.05,13,8.1
2.0,0.05,15,8.31
2.0,0.05,17,8.49
2.0,0.05,19,8.64
2.0,0.05,21,8.77
2.0,0.1,3,3.72
2.0,0.1,4,4.18
2.0,0.1,5,4.5
2.0,0.1,6,4.74
2.0,0.1,7,4.93
2.0,0.1,8,5.09
2.0,0.1,9,5.23
2.0,0.1,10,5.34
2.0,0.1,11,5.45
2.0,0.1,13,5.62
2.0,0.1,15,5.77
2.0,0.1,17,5.89
2.0,0.1,19,6.0
2.0,0.1,21,6.09
3.0,0.01,3,6.97
3.0,0.01,4,7.64
3.0,0.01,5,8.1
3.0,0.01,6,8.46
3.0,0.01,7,8.74
3.0,0.01,8,8.98
3.0,0.01,9,9.19
3.0,0.01,10,9.37
3.0,0.01,11,9.52
3.0,0.01,13,9.79
3.0,0.01,15,10.0
3.0,0.01,17,10.2
3.0,0.01,19,10.4
3.0,0.01,21,10.5
3.0,0.05,3,3.87
3.0,0.05,4,4.26
3.0,0.05,5,4.54
3.0,0.05,6,4.75
3.0,0.05,7,4.92
3.0,0.05,8,5.06
3.0,0.05,9,5.18
3.0,0.05,10,5.28
3.0,0.05,11,5.37
3.0,0.05,13,5.53
3.0,0.05,15,5.66
3.0,0.05,17,5.77
3.0,0.05,19,5.87
3.0,0.05,21,5.95
3.0,0.1,3,2.91
3.0,0.1,4,3.23
3.0,0.1,5,3.45
3.0,0.1,6,3.62
3.0,0.1,7,3.75
3.0,0.1,8,3.87
3.0,0.1,9,3.96
3.0,0.1,10,4.04
3.0,0.1,11,4.12
3.0,0.1,13,4.24
3.0,0.1,15,4.34
3.0,0.1,17,4.43
3.0,0.1,19,4.51
3.0,0.1,21,4.58
4.0,0.01,3,5.36
4.0,0.01,4,5.81
4.0,0.01,5,6.12
4.0,0.01,6,6.36
4.0,0.01,7,6.55
4.0,0.01,8,6.72
4.0,0.01,9,6.85
4.0,0.01,10,6.98
4.0,0.01,11,7.08
4.0,0.01,13,7.27
4.0,0.01,15,7.42
4.0,0.01,17,7.55
4.0,0.01,19,7.66
4.0,0.01,21,7.77
4.0,0.05,3,3.31
4.0,0.05,4,3.62
4.0,0.05,5,3.83
4.0,0.05,6,3.99
4.0,0.05,7,4.13
4.0,0.05,8,4.23
4.0,0.05,9,4.33
4.0,0.05,10,4.41
4.0,0.05,11,4.48
4.0,0.05,13,4.6
4.0,0.05,15,4.71
4.0,0.05,17,4.79
4.0,0.05,19,4.87
4.0,0.05,21,4.94
4.0,0.1,3,2.6
4.0,0.1,4,2.86
4.0,0.1,5,3.05
4.0,0.1,6,3.18
4.0,0.1,7,3.3
4.0,0.1,8,3.39
4.0,0.1,9,3.47
4.0,0.1,10,3.54
4.0,0.1,11,3.6
4.0,0.1,13,3.7
4.0,0.1,15,3.79
4.0,0.1,17,3.86
4.0,0.1,19,3.92
4.0,0.1,21,3.98
5.0,0.01,3,4.63
5.0,0.01,4,4.97
5.0,0.01,5,5.22
5.0,0.01,6,5.41
5.0,0.01,7,5.56
5.0,0.01,8,5.68
5.0,0.01,9,5.79
5.0,0.01,10,5.89
5.0,0.01,11,5.97
5.0,0.01,13,6.11
5.0,0.01,15,6.24
5.0,0.01,17,6.34
5.0,0.01,19,6.43
5.0,0.01,21,6.51
5.0,0.05,3,3.03
5.0,0.05,4,3.29
5.0,0.05,5,3.48
5.0,0.05,6,3.62
5.0,0.05,7,3.73
5.0,0.05,8,3.82
5.0,0.05,9,3.9
5.0,0.05,10,3.97
5.0,0.05,11,4.03
5.0,0.05,13,4.14
5.0,0.05,15,4.23
5.0,0.05,17,4.3
5.0,0.05,19,4.37
5.0,0.05,21,4.42
5.0,0.1,3,2.43
5.0,0.1,4,2.67
5.0,0.1,5,2.83
5.0,0.1,6,2.96
5.0,0.1,7,3.05
5.0,0.1,8,3.14
5.0,0.1,9,3.21
5.0,0.1,10,3.27
5.0,0.1,11,3.32
5.0,0.1,13,3.41
5.0,0.1,15,3.49
5.0,0.1,17,3.56
5.0,0.1,19,3.61
5.0,0.1,21,3.66
6.0,0.01,3,4.21
6.0,0.01,4,4.51
6.0,0.01,5,4.71
6.0,0.01,6,4.87
6.0,0.01,7,5.0
6.0,0.01,8,5.1
6.0,0.01,9,5.2
6.0,0.01,10,5.28
6.0,0.01,11,5.35
6.0,0.01,13,5.47
6.0,0.01,15,5.57
6.0,0.01,17,5.66
6.0,0.01,19,5.74
6.0,0.01,21,5.8
6.0,0.05,3,2.86
6.0,0.05,4,3.1
6.0,0.05,5,3.26
6.0,0.05,6,3.39
6.0,0.05,7,3.49
6.0,0.05,8,3.57
6.0,0.05,9,3.64
6.0,0.05,10,3.71
6.0,0.05,11,3.76
6.0,0.05,13,3.86
6.0,0.05,15,3.94
6.0,0.05,17,4.0
6.0,0.05,19,4.06
6.0,0.05,21,4.11
6.0,0.1,3,2.33
6.0,0.1,4,2.55
6.0,0.1,5,2.7
6.0,0.1,6,2.81
6.0,0.1,7,2.91
6.0,0.1,8,2.98
6.0,0.1,9,3.05
6.0,0.1,10,3.1
6.0,0.1,11,3.15
6.0,0.1,13,3.24
6.0,0.1,15,3.31
6.0,0.1,17,3.37
6.0,0.1,19,3.42
6.0,0.1,21,3.47
7.0,0.01,3,3.95
7.0,0.01,4,4.21
7.0,0.01,5,4.39
7.0,0.01,6,4.53
7.0,0.01,7,4.64
7.0,0.01,8,4.74
7.0,0.01,9,4.82
7.0,0.01,10,4.89
7.0,0.01,11,4.96
7.0,0.01,13,5.07
7.0,0.01,15,5.16
7.0,0.01,17,5.24
7.0,0.01,19,5.31
7.0,0.01,21,5.37
7.0,0.05,3,2.75
7.0,0.05,4,2.97
7.0,0.05,5,3.12
7.0,0.05,6,3.24
7.0,0.05,7,3.33
7.0,0.05,8,3.41
7.0,0.05,9,3.48
7.0,0.05,10,3.53
7.0,0.05,11,3.58
7.0,0.05,13,3.67
7.0,0.05,15,3.75
7.0,0.05,17,3.81
7.0,0.05,19,3.86
7.0,0.05,21,3.91
7.0,0.1,3,2.26
7.0,0.1,4,2.47
7.0,0.1,5,2.61
7.0,0.1,6,2.72
7.0,0.1,7,2.81
7.0,0.1,8,2.88
7.0,0.1,9,2.94
7.0,0.1,10,2.99
7.0,0.1,11,3.04
7.0,0.1,13,3.12
7.0,0.1,15,3.18
7.0,0.1,17,3.24
7.0,0.1,19,3.29
7.0,0.1,21,3.33
8.0,0.01,3,3.77
8.0,0.01,4,4.0
8.0,0.01,5,4.17
8.0,0.01,6,4.29
8.0,0.01,7,4.4
8.0,0.01,8,4.48
8.0,0.01,9,4.56
8.0,0.01,10,4.62
8.0,0.01,11,4.68
8.0,0.01,13,4.78
8.0,0.01,15,4.86
8.0,0.01,17,4.93
8.0,0.01,19,5.0
8.0,0.01,21,5.05
8.0,0.05,3,2.67
8.0,0.05,4,2.88
8.0,0.05,5,3.02
8.0,0.05,6,3.13
8.0,0.05,7,3.22
8.0,0.05,8,3.29
8.0,0.05,9,3.35
8.0,0.05,10,3.41
8.0,0.05,11,3.46
8.0,0.05,13,3.54
8.0,0.05,15,3.61
8.0,0.05,17,3.67
8.0,0.05,19,3.72
8.0,0.05,21,3.76
8.0,0.1,3,2.22
8.0,0.1,4,2.41
8.0,0.1,5,2.55
8.0,0.1,6,2.65
8.0,0.1,7,2.73
8.0,0.1,8,2.8
8.0,0.1,9,2.86
8.0,0.1,10,2.91
8.0,0.1,11,2.96
8.0,0.1,13,3.03
8.0,0.1,15,3.1
8.0,0.1,17,3.15
8.0,0.1,19,3.2
8.0,0.1,21,3.24
9.0,0.01,3,3.63
9.0,0.01,4,3.85
9.0,0.01,5,4.01
9.0,0.01,6,4.12
9.0,0.01,7,4.22
9.0,0.01,8,4.3
9.0,0.01,9,4.37
9.0,0.01,10,4.43
9.0,0.01,11,4.48
9.0,0.01,13,4.57
9.0,0.01,15,4.65
9.0,0.01,17,4.71
9.0,0.01,19,4.77
9.0,0.01,21,4.82
9.0,0.05,3,2.61
9.0,0.05,4,2.81
9.0,0.05,5,2.95
9.0,0.05,6,3.05
9.0,0.05,7,3.14
9.0,0.05,8,3.2
9.0,0.05,9,3.26
9.0,0.05,10,3.32
9.0,0.05,11,3.36
9.0,0.05,13,3.44
9.0,0.05,15,3.51
9.0,0.05,17,3.56
9.0,0.05,19,3.61
9.0,0.05,21,3.65
9.0,0.1,3,2.18
9.0,0.1,4,2.37
9.0,0.1,5,2.5
9.0,0.1,6,2.6
9.0,0.1,7,2.68
9.0,0.1,8,2.74
9.0,0.1,9,2.8
9.0,0.1,10,2.85
9.0,0.1,11,2.89
9.0,0.1,13,2.97
9.0,0.1,15,3.03
9.0,0.1,17,3.08
9.0,0.1,19,3.13
9.0,0.1,21,3.17
10.0,0.01,3,3.53
10.0,0.01,4,3.74
10.0,0.01,5,3.88
10.0,0.01,6,3.99
10.0,0.01,7,4.08
10.0,0.01,8,4.16
10.0,0.01,9,4.22
10.0,0.01,10,4.28
10.0,0.01,11,4.33
10.0,0.01,13,4.42
10.0,0.01,15,4.49
10.0,0.01,17,4.55
10.0,0.01,19,4.6
10.0,0.01,21,4.65
10.0,0.05,3,2.57
10.0,0.05,4,2.76
10.0,0.05,5,2.89
10.0,0.05,6,2.99
10.0,0.05,7,3.07
10.0,0.05,8,3.14
10.0,0.05,9,3.19
10.0,0.05,10,3.24
10.0,0.05,11,3.29
10.0,0.05,13,3.36
10.0,0.05,15,3.43
10.0,0.05,17,3.48
10.0,0.05,19,3.53
10.0,0.05,21,3.57
10.0,0.1,3,2.15
10.0,0.1,4,2.34
10.0,0.1,5,2.46
10.0,0.1,6,2.56
10.0,0.1,7,2.64
10.0,0.1,8,2.7
10.0,0.1,9,2.75
10.0,0.1,10,2.8
10.0,0.1,11,2.84
10.0,0.1,13,2.92
10.0,0.1,15,2.98
10.0,0.1,17,3.03
10.0,0.1,19,3.07
10.0,0.1,21,3.11
11.0,0.01,3,3.45
11.0,0.01,4,3.65
11.0,0.01,5,3.79
11.0,0.01,6,3.89
11.0,0.01,7,3.98
11.0,0.01,8,4.05
11.0,0.01,9,4.11
11.0,0.01,10,4.16
11.0,0.01,11,4.21
11.0,0.01,13,4.29
11.0,0.01,15,4.36
11.0,0.01,17,4.42
11.0,0.01,19,4.47
11.0,0.01,21,4.52
11.0,0.05,3,2.53
11.0,0.05,4,2.72
11.0,0.05,5,2.84
11.0,0.05,6,2.94
11.0,0.05,7,3.02
11.0,0.05,8,3.08
11.0,0.05,9,3.14
11.0,0.05,10,3.19
11.0,0.05,11,3.23
11.0,0.05,13,3.3
11.0,0.05,15,3.36
11.0,0.05,17,3.42
11.0,0.05,19,3.46
11.0,0.05,21,3.5
11.0,0.1,3,2.13
11.0,0.1,4,2.31
11.0,0.1,5,2.43
11.0,0.1,6,2.53
11.0,0.1,7,2.6
11.0,0.1,8,2.66
11.0,0.1,9,2.72
11.0,0.1,10,2.76
11.0,0.1,11,2.8
11.0,0.1,13,2.87
11.0,0.1,15,2.93
11.0,0.1,17,2.98
11.0,0.1,19,3.03
11.0,0.1,21,3.06
12.0,0.01,3,3.39
12.0,0.01,4,3.58
12.0,0.01,5,3.71
12.0,0.01,6,3.81
12.0,0.01,7,3.89
12.0,0.01,8,3.96
12.0,0.01,9,4.02
12.0,0.01,10,4.07
12.0,0.01,11,4.12
12.0,0.01,13,4.19
12.0,0.01,15,4.26
12.0,0.01,17,4.32
12.0,0.01,19,4.37
12.0,0.01,21,4.41
12.0,0.05,3,2.5
12.0,0.05,4,2.68
12.0,0.05,5,2.81
12.0,0.05,6,2.9
12.0,0.05,7,2.98
12.0,0.05,8,3.04
12.0,0.05,9,3.09
12.0,0.05,10,3.14
12.0,0.05,11,3.18
12.0,0.05,13,3.25
12.0,0.05,15,3.31
12.0,0.05,17,3.36
12.0,0.05,19,3.41
12.0,0.05,21,3.45
12.0,0.1,3,2.11
12.0,0.1,4,2.29
12.0,0.1,5,2.41
12.0,0.1,6,2.5
12.0,0.1,7,2.57
12.0,0.1,8,2.64
12.0,0.1,9,2.69
12.0,0.1,10,2.73
12.0,0.1,11,2.77
12.0,0.1,13,2.84
12.0,0.1,15,2.9
12.0,0.1,17,2.95
12.0,0.1,19,2.99
12.0,0.1,21,3.03
14.0,0.01,3,3.29
14.0,0.01,4,3.47
14.0,0.01,5,3.59
14.0,0.01,6,3.69
14.0,0.01,7,3.76
14.0,0.01,8,3.83
14.0,0.01,9,3.88
14.0,0.01,10,3.93
14.0,0.01,11,3.97
14.0,0.01,13,4.05
14.0,0.01,15,4.11
14.0,0.01,17,4.16
14.0,0.01,19,4.2
14.0,0.01,21,4.25
14.0,0.05,3,2.46
14.0,0.05,4,2.63
14.0,0.05,5,2.75
14.0,0.05,6,2.84
14.0,0.05,7,2.91
14.0,0.05,8,2.97
14.0,0.05,9,3.02
14.0,0.05,10,3.07
14.0,0.05,11,3.11
14.0,0.05,13,3.18
14.0,0.05,15,3.23
14.0,0.05,17,3.28
14.0,0.05,19,3.32
14.0,0.05,21,3.36
14.0,0.1,3,2.08
14.0,0.1,4,2.25
14.0,0.1,5,2.37
14.0,0.1,6,2.46
14.0,0.1,7,2.53
14.0,0.1,8,2.59
14.0,0.1,9,2.64
14.0,0.1,10,2.68
14.0,0.1,11,2.72
14.0,0.1,13,2.79
14.0,0.1,15,2.84
14.0,0.1,17,2.89
14.0,0.1,19,2.93
14.0,0.1,21,2.97
16.0,0.01,3,3.22
16.0,0.01,4,3.39
16.0,0.01,5,3.51
16.0,0.01,6,3.6
16.0,0.01,7,3.67
16.0,0.01,8,3.73
16.0,0.01,9,3.78
16.0,0.01,10,3.83
16.0,0.01,11,3.87
16.0,0.01,13,3.94
16.0,0.01,15,4.0
16.0,0.01,17,4.05
16.0,0.01,19,4.09
16.0,0.01,21,4.13
16.0,0.05,3,2.42
16.0,0.05,4,2.59
16.0,0.05,5,2.71
16.0,0.05,6,2.8
16.0,0.05,7,2.87
16.0,0.05,8,2.92
16.0,0.05,9,2.97
16.0,0.05,10,3.02
16.0,0.05,11,3.06
16.0,0.05,13,3.12
16.0,0.05,15,3.18
16.0,0.05,17,3.22
16.0,0.05,19,3.26
16.0,0.05,21,3.3
16.0,0.1,3,2.06
16.0,0.1,4,2.23
16.0,0.1,5,2.34
16.0,0.1,6,2.43
16.0,0.1,7,2.5
16.0,0.1,8,2.56
16.0,0.1,9,2.61
16.0,0.1,10,2.65
16.0,0.1,11,2.69
16.0,0.1,13,2.75
16.0,0.1,15,2.8
16.0,0.1,17,2.85
16.0,0.1,19,2.89
16.0,0.1,21,2.93
18.0,0.01,3,3.17
18.0,0.01,4,3.33
18.0,0.01,5,3.44
18.0,0.01,6,3.53
18.0,0.01,7,3.6
18.0,0.01,8,3.66
18.0,0.01,9,3.71
18.0,0.01,10,3.75
18.0,0.01,11,3.79
18.0,0.01,13,3.86
18.0,0.01,15,3.91
18.0,0.01,17,3.96
18.0,0.01,19,4.0
18.0,0.01,21,4.04
18.0,0.05,3,2.4
18.0,0.05,4,2.56
18.0,0.05,5,2.68
18.0,0.05,6,2.76
18.0,0.05,7,2.83
18.0,0.05,8,2.89
18.0,0.05,9,2.94
18.0,0.05,10,2.98
18.0,0.05,11,3.01
18.0,0.05,13,3.08
18.0,0.05,15,3.13
18.0,0.05,17,3.18
18.0,0.05,19,3.22
18.0,0.05,21,3.25
18.0,0.1,3,2.04
18.0,0.1,4,2.21
18.0,0.1,5,2.32
18.0,0.1,6,2.41
18.0,0.1,7,2.47
18.0,0.1,8,2.53
18.0,0.1,9,2.58
18.0,0.1,10,2.62
18.0,0.1,11,2.66
18.0,0.1,13,2.72
18.0,0.1,15,2.77
18.0,0.1,17,2.82
18.0,0.1,19,2.86
18.0,0.1,21,2.89
20.0,0.01,3,3.13
20.0,0.01,4,3.29
20.0,0.01,5,3.4
20.0,0.01,6,3.48
20.0,0.01,7,3.55
20.0,0.01,8,3.6
20.0,0.01,9,3.65
20.0,0.01,10,3.69
20.0,0.01,11,3.73
20.0,0.01,13,3.8
20.0,0.01,15,3.85
20.0,0.01,17,3.9
20.0,0.01,19,3.94
20.0,0.01,21,3.97
20.0,0.05,3,2.38
20.0,0.05,4,2.54
20.0,0.05,5,2.65
20.0,0.05,6,2.73
20.0,0.05,7,2.8
20.0,0.05,8,2.86
20.0,0.05,9,2.9
20.0,0.05,10,2.95
20.0,0.05,11,2.98
20.0,0.05,13,3.05
20.0,0.05,15,3.1
20.0,0.05,17,3.14
20.0,0.05,19,3.18
20.0,0.05,21,3.22
20.0,0.1,3,2.03
20.0,0.1,4,2.19
20.0,0.1,5,2.3
20.0,0.1,6,2.39
20.0,0.1,7,2.46
20.0,0.1,8,2.51
20.0,0.1,9,2.56
20.0,0.1,10,2.6
20.0,0.1,11,2.64
20.0,0.1,13,2.7
20.0,0.1,15,2.75
20.0,0.1,17,2.79
20.0,0.1,19,2.83
20.0,0.1,21,2.87
24.0,0.01,3,3.07
24.0,0.01,4,3.22
24.0,0.01,5,3.32
24.0,0.01,6,3.4
24.0,0.01,7,3.47
24.0,0.01,8,3.52
24.0,0.01,9,3.57
24.0,0.01,10,3.61
24.0,0.01,11,3.64
24.0,0.01,13,3.7
24.0,0.01,15,3.76
24.0,0.01,17,3.8
24.0,0.01,19,3.84
24.0,0.01,21,3.87
24.0,0.05,3,2.35
24.0,0.05,4,2.51
24.0,0.05,5,2.61
24.0,0.05,6,2.7
24.0,0.05,7,2.76
24.0,0.05,8,2.81
24.0,0.05,9,2.86
24.0,0.05,10,2.9
24.0,0.05,11,2.94
24.0,0.05,13,3.0
24.0,0.05,15,3.05
24.0,0.05,17,3.09
24.0,0.05,19,3.13
24.0,0.05,21,3.16
24.0,0.1,3,2.01
24.0,0.1,4,2.17
24.0,0.1,5,2.28
24.0,0.1,6,2.36
24.0,0.1,7,2.43
24.0,0.1,8,2.48
24.0,0.1,9,2.53
24.0,0.1,10,2.57
24.0,0.1,11,2.6
24.0,0.1,13,2.66
24.0,0.1,15,2.71
24.0,0.1,17,2.76
24.0,0.1,19,2.79
24.0,0.1,21,2.83
30.0,0.01,3,3.01
30.0,0.01,4,3.15
30.0,0.01,5,3.25
30.0,0.01,6,3.33
30.0,0.01,7,3.39
30.0,0.01,8,3.44
30.0,0.01,9,3.49
30.0,0.01,10,3.52
30.0,0.01,11,3.56
30.0,0.01,13,3.62
30.0,0.01,15,3.66
30.0,0.01,17,3.71
30.0,0.01,19,3.74
30.0,0.01,21,3.77
30.0,0.05,3,2.32
30.0,0.05,4,2.47
30.0,0.05,5,2.58
30.0,0.05,6,2.66
30.0,0.05,7,2.72
30.0,0.05,8,2.77
30.0,0.05,9,2.82
30.0,0.05,10,2.86
30.0,0.05,11,2.89
30.0,0.05,13,2.95
30.0,0.05,15,3.0
30.0,0.05,17,3.04
30.0,0.05,19,3.08
30.0,0.05,21,3.11
30.0,0.1,3,1.99
30.0,0.1,4,2.15
30.0,0.1,5,2.25
30.0,0.1,6,2.33
30.0,0.1,7,2.4
30.0,0.1,8,2.45
30.0,0.1,9,2.5
30.0,0.1,10,2.54
30.0,0.1,11,2.57
30.0,0.1,13,2.63
30.0,0.1,15,2.68
30.0,0.1,17,2.72
30.0,0.1,19,2.76
30.0,0.1,21,2.79
40.0,0.01,3,2.95
40.0,0.01,4,3.09
40.0,0.01,5,3.19
40.0,0.01,6,3.26
40.0,0.01,7,3.32
40.0,0.01,8,3.37
40.0,0.01,9,3.41
40.0,0.01,10,3.44
40.0,0.01,11,3.48
40.0,0.01,13,3.53
40.0,0.01,15,3.58
40.0,0.01,17,3.62
40.0,0.01,19,3.65
40.0,0.01,21,3.68
40.0,0.05,3,2.29
40.0,0.05,4,2.44
40.0,0.05,5,2.54
40.0,0.05,6,2.62
40.0,0.05,7,2.68
40.0,0.05,8,2.73
40.0,0.05,9,2.77
40.0,0.05,10,2.81
40.0,0.05,11,2.85
40.0,0.05,13,2.9
40.0,0.05,15,2.95
40.0,0.05,17,2.99
40.0,0.05,19,3.02
40.0,0.05,21,3.06
40.0,0.1,3,1.97
40.0,0.1,4,2.13
40.0,0.1,5,2.23
40.0,0.1,6,2.31
40.0,0.1,7,2.37
40.0,0.1,8,2.42
40.0,0.1,9,2.47
40.0,0.1,10,2.51
40.0,0.1,11,2.54
40.0,0.1,13,2.6
40.0,0.1,15,2.65
40.0,0.1,17,2.69
40.0,0.1,19,2.72
40.0,0.1,21,2.75
60.0,0.01,3,2.9
60.0,0.01,4,3.03
60.0,0.01,5,3.12
60.0,0.01,6,3.19
60.0,0.01,7,3.25
60.0,0.01,8,3.29
60.0,0.01,9,3.33
60.0,0.01,10,3.37
60.0,0.01,11,3.4
60.0,0.01,13,3.45
60.0,0.01,15,3.49
60.0,0.01,17,3.53
60.0,0.01,19,3.56
60.0,0.01,21,3.59
60.0,0.05,3,2.27
60.0,0.05,4,2.41
60.0,0.05,5,2.51
60.0,0.05,6,2.58
60.0,0.05,7,2.64
60.0,0.05,8,2.69
60.0,0.05,9,2.73
60.0,0.05,10,2.77
60.0,0.05,11,2.8
60.0,0.05,13,2.86
60.0,0.05,15,2.9
60.0,0.05,17,2.94
60.0,0.05,19,2.97
60.0,0.05,21,3.0
60.0,0.1,3,1.95
60.0,0.1,4,2.1
60.0,0.1,5,2.21
60.0,0.1,6,2.28
60.0,0.1,7,2.34
60.0,0.1,8,2.4
60.0,0.1,9,2.44
60.0,0.1,10,2.48
60.0,0.1,11,2.51
60.0,0.1,13,2.57
60.0,0.1,15,2.61
60.0,0.1,17,2.65
60.0,0.1,19,2.69
60.0,0.1,21,2.72
120.0,0.01,3,2.85
120.0,0.01,4,2.97
120.0,0.01,5,3.06
120.0,0.01,6,3.12
120.0,0.01,7,3.18
120.0,0.01,8,3.22
120.0,0.01,9,3.26
120.0,0.01,10,3.29
120.0,0.01,11,3.32
120.0,0.01,13,3.37
120.0,0.01,15,3.41
120.0,0.01,17,3.45
120.0,0.01,19,3.48
120.0,0.01,21,3.5
120.0,0.05,3,2.24
120.0,0.05,4,2.38
120.0,0.05,5,2.47
120.0,0.05,6,2.55
120.0,0.05,7,2.6
120.0,0.05,8,2.65
120.0,0.05,9,2.69
120.0,0.05,10,2.73
120.0,0.05,11,2.76
120.0,0.05,13,2.81
120.0,0.05,15,2.86
120.0,0.05,17,2.89
120.0,0.05,19,2.93
120.0,0.05,21,2.95
120.0,0.1,3,1.93
120.0,0.1,4,2.08
120.0,0.1,5,2.18
120.0,0.1,6,2.26
120.0,0.1,7,2.32
120.0,0.1,8,2.37
120.0,0.1,9,2.41
120.0,0.1,10,2.45
120.0,0.1,11,2.48
120.0,0.1,13,2.53
120.0,0.1,15,2.58
120.0,0.1,17,2.62
120.0,0.1,19,2.65
120.0,0.1,21,2.68
inf,0.01,3,2.79
inf,0.01,4,2.91
inf,0.01,5,3.0
inf,0.01,6,3.06
inf,0.01,7,3.11
inf,0.01,8,3.15
inf,0.01,9,3.19
inf,0.01,10,3.22
inf,0.01,11,3.25
inf,0.01,13,3.29
inf,0.01,15,3.33
inf,0.01,17,3.37
inf,0.01,19,3.4
inf,0.01,21,3.42
inf,0.05,3,2.21
inf,0.05,4,2.35
inf,0.05,5,2.44
inf,0.05,6,2.51
inf,0.05,7,2.57
inf,0.05,8,2.61
inf,0.05,9,2.65
inf,0.05,10,2.69
inf,0.05,11,2.72
inf,0.05,13,2.77
inf,0.05,15,2.81
inf,0.05,17,2.85
inf,0.05,19,2.88
inf,0.05,21,2.91
inf,0.1,3,1.92
inf,0.1,4,2.06
inf,0.1,5,2.16
inf,0.1,6,2.23
inf,0.1,7,2.29
inf,0.1,8,2.34
inf,0.1,9,2.38
inf,0.1,10,2.42
inf,0.1,11,2.45
inf,0.1,13,2.5
inf,0.1,15,2.55
inf,0.1,17,2.58
inf,0.1,19,2.62
inf,0.1,21,2.64
